Категория,Анализ,Биоматериал,Описание,Стоимость,Готовность в течении
Популярное,Гомоцистеин,Сыворотка,"Гомоцистеин — серосодержащая аминокислота плазмы крови, является продуктом обмена аминокислот метионина и цистеина. Гомоцистеин обычно содержится в клетках организма в очень небольших концентрациях. Метионин является одной из одиннадцати незаменимых аминокислот, то есть таких, которые не образуются в организме и поступают в него только с пищей. Высокие уровни гомоцистеина в крови ассоциированы с риском сердечно-сосудистых заболеваний, сахарного диабета, болезни Альцгеймера и остеопороза.",1890,1
Популярное,Клинический анализ крови с лейкоцитарной формулой и СОЭ,Сыворотка,"Клинический  анализ крови – это развернутое исследование качественного и количественного состава крови, в ходе которого дается характеристика эритроцитов и их специфических показателей (MCV, MCH, MCHC, RDW), лейкоцитов и их разновидностей в процентном соотношении (лейкоцитарная формула) и тромбоцитов, а также определяется скорость оседания эритроцитов (СОЭ). Используется для диагностики и контроля лечения многих заболеваний.",590,1
Популярное,Креатинин,Сыворотка,"Креатинин — конечный продукт метаболизма мышечного креатина, хотя незначительный вклад в его продукцию может вносить и потребление в пищу мяса. Этот показатель отражает баланс между продукцией креатинина и его экскрецией почками.",249,1
Популярное,Мочевина,Сыворотка,Основной продукт распада белков. Выводится из организма вместе с лишним азотом.,249,1
Популярное,Общий анализ мочи,Моча,"Общий (клинический) анализ мочи - исследование, позволяющее судить об общем состоянии организма и диагностировать ряд урологических, эндокринных, метаболических и других заболеваний.",490,1
Популярное,Общий бета-ХГЧ,Сыворотка,"Хорионический гонадотропин человека (ХГЧ) – это гормон, который вырабатывается в плодной оболочке человеческого эмбриона. Он является важным показателем развития беременности и ее отклонений. Бета-субъединица хорионического гонадотропина уникальна, что, с одной стороны, обуславливает специфичность его действия, а с другой – позволяет идентифицировать его в биологических средах. Зная уровень бета-ХГЧ в крови, можно уже на 6-8-й день после зачатия диагностировать беременность. В норме при беременности в период между 2-й и 5-й неделей количество бета-ХГЧ удваивается каждые 1,5 суток.",690,3
Популярное,СОЭ (ESR),Кровь с EDTA,"Неспецифический показатель воспаления, показывает скорость оседания эритроцитов.",259,1
Популярное,Срочный ПЦР-тест на РНК коронавируса (SARS-CoV-2),"Мазок с зева, Мокрота","Это качественный анализ на обнаружение РНК коронавируса SARS-CoV-2. Мазок из ротоглотки нужно будет взять самостоятельно — курьер привезёт набор со всем необходимым. 

Если нужна справка на русском и английском языке, укажите это при оформлении заказа — сделаем в подарок. С ней на границе не будет проблем: лаборатория аккредитована Роспотребнадзором, а документ оформлен по всем правилам.",2490,1
Популярное,Тиреотропный гормон (ТТГ),Сыворотка,"Тиреотропный гормон (ТТГ) – основной регулятор функции щитовидной железы, синтезирующийся гипофизом – небольшой железой, которая расположена на нижней поверхности головного мозга. Основная его функция – поддерживать постоянную концентрацию гормонов щитовидной железы – тиреоидных гормонов, которые регулируют процессы образования энергии в организме. Когда их содержание в крови понижается, гипоталамус высвобождает гормон, стимулирующий секрецию ТТГ гипофизом.",590,3
Популярное,Тироксин (Т4) свободный,Сыворотка,"Тироксин (Т4) – один из двух главных гормонов щитовидной железы, основной функцией которого является регуляция энергетического и пластического обмена в организме. Свободный тироксин – биологически активная часть общего тироксина, которая играет важную роль в обмене веществ.",590,3
Популярное,Триглицериды,Сыворотка,"Жиры - один из основных источников энергии для клеток организма. Часть триглицеридов находится в крови.
Повышение их уровня увеличивает риск заболевания сердца и сосудов, а также риск развития острого панкреатита.",290,1
Популярное,Ферритин,Сыворотка,"Ферритин — основной белок, который депонирует железо, и служит индикатором запасов железа в организме.",690,1
Популярное,Фибриноген,Кровь с цитратом,"Фибриноген - растворённый в плазме бесцветный белок, вырабатываемый печенью. При активации системы свёртывания крови подвергается ферментативному расщеплению ферментом тромбином. Образующийся фибрин - основа сгустка при свертывании крови.",390,1
Популярное,Холестерин ЛПВП,Сыворотка,"Холестерол (холестерин) - это органическое соединение, природный полициклический липофильный спирт, содержащийся в клеточных мембранах (крови) всех животных и человека. Играет важную роль в строительстве клеточных мембран, выработке витамина D, жирных кислот и гормонов (стероидных: кортизол, альдостерон, половых: эстрогены, прогестерон, тестостерон).
Уровень холестерола может повышаться или снижаться в течение небольшого помежутка времени - эти изменения метаболизма ЛПВП в организме являются нормальными и называются биологческой вариацией. Поэтому иногда может потребоваться сдать анализ повторно.",390,1
Популярное,Холестерин ЛПНП,Сыворотка,"Липопротеины низкой плотности – основные переносчики холестерола (холестерина) в организме.
Холестерол, входящий в их состав, считается ""вредным"", так как при его избытке повышается риск появления в артериях бляшек, которые могут приводить к их закупорке и вызывать инфаркт или инсульт.",390,1
Популярное,Холестерин общий,Сыворотка,"Холестерол общий (холестерин) – жироподобное вещество, необходимое организму для нормального функционирования клеток, переваривания пищи, создания многих гормонов. При избытке холестерина увеличивается риск появления бляшек в артериях, которые могут приводить к их закупорке и вызывать инфаркт или инсульт.",290,1
COVID,Стандартный ПЦР-тест на РНК коронавируса (SARS-CoV-2),"Мазок с зева, Мокрота","Это качественный анализ на обнаружение РНК коронавируса SARS-CoV-2. Мазок из ротоглотки нужно будет взять самостоятельно — курьер привезёт набор со всем необходимым. 

Если нужна справка на русском и английском языке, укажите это при оформлении заказа — сделаем в подарок. С ней на границе не будет проблем: лаборатория аккредитована Роспотребнадзором, а документ оформлен по всем правилам.",1990,2
COVID,"Антитела IgG к коронавирусу SARS CoV-2, колич",Кровь,"Анализ крови на антитела к возбудителю COVID 19 выполняется для оценки иммунного ответа на текущую или перенесенную инфекцию. Выявление IgG-антител позволяет судить о наличии защитного иммунитета, который может сформироваться как после перенесенного заболевания, так и после вакцинации. Количественный метод.",1390,3
COVID,Срочный ПЦР-тест на РНК коронавируса (SARS-CoV-2),"Мазок с зева, Мокрота","Это качественный анализ на обнаружение РНК коронавируса SARS-CoV-2. Мазок из ротоглотки нужно будет взять самостоятельно — курьер привезёт набор со всем необходимым. 

Если нужна справка на русском и английском языке, укажите это при оформлении заказа — сделаем в подарок. С ней на границе не будет проблем: лаборатория аккредитована Роспотребнадзором, а документ оформлен по всем правилам.",2490,1
COVID,Обследование после новой коронавирусной инфекции COVID-19,"Сыворотка крови, Кровь с EDTA, Плазма цитрат","Клинический анализ крови + Лейкоцитарная формула + СОЭ, Д-димер, АЛТ (аланинаминотрансфераза), АСТ (аспартатаминотрансфераза), Билирубин общий, Креатинин, Мочевина, Скорость клубочкой фильтрации CKD-EPI, Лактатдегидрогеназа (ЛДГ), Ферритин, Липидный обмен (триглицериды; холестерин общий; ХС ЛПВП; ХС ЛПНП; Индекс атерогенности), С-реактивный белок, Антитела к SARS-CoV-2 IgG колич., Антитела к SARS-CoV-2 IgM.",4990,3
COVID,Комплексный анализ на антитела к коронавирусу SARS-Cov-2: IgM и IgG,Кровь,"Анализ крови на антитела IgM кач. и IgG колич. к вирусу SARS-CoV-2 – исследование, которое помогает проверить наличие антител в крови к коронавирусу. 
IgM-антитела производятся первыми, их уровень быстро нарастает в начале инфекции, достигая максимума в острый период болезни, а затем постепенно снижается, полностью исчезая к моменту выздоровления. 
IgG-антитела -антитела начинают появляются в крови в острой стадии инфекционного процесса, но максимальная их выработка происходит обычно через 10-14 дней после перенесенной инфекции. Выявление IgG антител к SARS-CoV-2 свидетельствует, что человек выздоравливает или уже переболел коронавирусной инфекцией.",2790,1
COVID,Комплексное исследование после вакцинации от новой коронавирусной инфекции (COVID-19),Сыворотка,"Исследование включает в себя антитела IgG колич.  + общий анализ крови с лейкоцитарной формулой + IgE суммарный. Антитела к спайковому белку позволят оценить, защищен ли организм от инфекции и как приобретенный иммунитет меняется со временем. Общий анализ крови и маркеры аллергической реакции покажут, как вакцина влияет на организм и иммунную систему в целом.",3990,3
COVID,Авидность IgG - антител к SARS-CoV-2 с помощью метода иммуноферментного анализа (ИФА),Кровь,"Авидность IgG антител к SARS-CoV-2 – это один из показателей специфического серологического исследования, которое обязательно проводится при подтверждении диагноза коронавирусной инфекции COVID-19. Данный показатель авидности позволяет определить время инфицирования и давность заболевания.",1290,3
COVID,"Антитела к коронавирусу SARS-Cov-2 IgM, полуколичественный",Кровь,"Исследование, которое помогает проверить наличие антител в крови к коронавирусу. IgM-антитела производятся первыми, их уровень быстро нарастает в начале инфекции, достигая максимума в острый период болезни, а затем постепенно снижается, полностью исчезая к моменту выздоровления.",1490,1
COVID,Комплексное исследование перед вакцинацией от новой коронавирусной инфекции (COVID-19),Сыворотка,"Исследование включает в себя общий анализ крови с лейкоцитарной формулой + СОЭ + АЛТ + АСТ + билирубин общий + креатинин + IgE суммарный + C-реактивный белок, антитела к коронавирусу (SARS-CoV-2) IgG, колич., IgM. Перед вакцинацией важно понимать, здоров ли ваш организм и как отреагирует на прививку. Тест проверяет основные показатели здоровья и наличие аллергических реакций и воспаления. А также маркеры уровня антител на случай, если вы уже переболели, чтобы не было лишней нагрузки на иммунную систему.",4990,3
Чекапы,Базовый чекап (совместно с PRO-Здоровье),"Кровь, кал","В состав исследования входит: общий белок, альбумин, креатинин, мочевина, АЛТ, АСТ, щелочная фосфотаза, билирубин общий, билирубин прямой, мочевая кислота, ГГТ, глюкоза, холестерин общий, триглицериды, ЛПНП, ЛПВП, общий анализ крови с лейкоцитарной формулой и СОЭ, инсулин, лептин, тиреотропный гормон (ТТГ), трийодтиронин (Т3) свободный, тироксин свободный (Т4), антитела к тиреопероксидазе (антиТПО), АТ-ТГ, железо, ферритин, витамин D,  гомоцистеин , гликированный гемоглобин, медь в крови,  цинк в крови, копрограмма.",11900,9
Чекапы,Ежегодный чекап,"Кровь, моча","Комплекс предназначен для скрининга наиболее частых для человека заболеваний, в том числе инфекционных и воспалительных процессов, сахарного диабета, гиперхолестеринемии и дефицита некоторых витаминов. В комплекс входит: клинический анализ крови с лейкоцитарной формулой и СОЭ, общий анализ мочи, глюкоза крови, АЛТ, АСТ, ГГТ, щелочная фосфатаза, общий белок, креатинин, мочевина, кальций общий, железо, витамин D, холестерин общий, триглицериды, мочевая кислота, альфа-амилаза.",5990,2
Чекапы,Ежегодный чекап + генетический тест Атлас,Кровь,"Чекап предназначен для скрининга наиболее частых для человека заболеваний, в том числе инфекционных и воспалительных процессов, сахарного диабета, гиперхолестеринемии и дефицита некоторых витаминов. В комплекс входит: клинический анализ крови с лейкоцитарной формулой и СОЭ, общий анализ мочи, глюкоза крови, АЛТ, АСТ, ГГТ, щелочная фосфатаза, общий белок, креатинин, мочевина, кальций общий, железо, витамин D, холестерин общий, триглицериды, мочевая кислота, альфа-амилаза. Генетические тест от Атлас определит предрасположенности и риски возникновения наследственных и многофакторных заболеваний.",16990,2
Чекапы,Инсулинорезистентность,"Кровь с edta, сыворотка","Основная жалоба при нарушении чувствительности к инсулину - трудности с потерей веса и хроническая усталось при приступах голода. Однако инсулинорезистентность также повышает риск сердечно-сосудистых, онкологических и нейродегенеративных заболеваний. Рекомендуется проверять ежегодно.
В исследование входит: Гликированный гемоглобин А1с %, Инсулин",1490,3
Чекапы,Обмен железа,"Сыворотка, кровь","Нарушения обмена железа являются частой причиной при хронической усталости, быстрой утомляемости и раздражительности. Рекомендуется при отклонениях гема в общем анализе крови и при жалобах.
В иследование входит: Железо, Ферритин, Ретикулоциты, Трансферрин, Общая железосвязывающая способность (ОЖСС) + Индекс насыщения трансферрина",2190,3
Чекапы,Персональный чекап Анны Батуевой,"Кровь, кал","В комплекс входит: Общий анализ крови, ЛПВП, ЛПНП, ЛПОНП, триглицериды, АЛТ, АСТ, билирубин прямой, билирубин непрямой, глюкоза, гликированный гемоглобин, инсулин, с-реактивный белок, белок общий, альбумин, креатинин, мочевина, мочевая кислота, щелочная фосфатаза, ГГТ, ТТГ, ферритин, копрограмма.",5900,1
Чекапы,Персональный чекап Анны Березиной,Кровь,"В комплекс входит: общий белок, ЛПВП, ЛПНП, триглицериды, глюкоза, инсулин, АЛТ, АСТ, витамин D, cывороточное железо, ферритин, клинический анализ крови с лейкоцитарной формулой и СОЭ, ТТГ, т4 свободный, кортизол, пролактин.",6900,1
Чекапы,Персональный чекап Виктории Волоховой,Кровь,"Чекап поможет проверить базовые показатели здоровья. В комплекс входит: клинический анализ крови, гомоцистеин, ферритин, железо, белок общий, мочевина, мочевая кислота, АЛТ, АСТ, глюкоза, инсулин, холестерин общий, ЛПВП, ЛПНП, триглицериды, билирубин общий, щелочная фосфатаза, ГГТ, ТТГ, Т3 свободный, Т4 свободный, витамин D.",8900,1
Чекапы,Половые гормоны,Сыворотка,"Синтез половых гормонов влияет на здоровье репродуктивной системы, а также общее самочувствие, выносливость при физических нагрузках, настроение и энергию. Комплекс рекомендован при планировании детей, занятий спортом и наличии жалоб на повышенную утомляемость или снижение стрессоустойчивости.
В исследование входит: ДГЭА-сульфат, Лютеинизирующий гормон, Фолликулостимулирующий гормон, Пролактин, Эстрадиол, Тестостерон общий",3190,1
Чекапы,Расширенный чекап (совместно с PRO-Здоровье),"Кровь, кал","В состав исследования входит: общий белок, альбумин, креатинин, мочевина, АЛТ, АСТ, щелочная фосфотаза, билирубин общий, билирубин прямой, мочевая кислота, ГГТ, глюкоза, холестерин общий, триглицериды, ЛПНП, ЛПВП, общий анализ крови с лейкоцитарной формулой и СОЭ, инсулин, лептин, тиреотропный гормон (ТТГ), трийодтиронин (Т3) свободный, тироксин свободный (Т4), антитела к тиреопероксидазе (антиТПО), АТ-ТГ, железо, ферритин, витамин D, витамин В12, фолиевая кислота, гомоцистеин , гликированный гемоглобин, медь в крови, магний в крови, цинк в крови, антитела к candida IgG, копрограмма.",16900,9
Чекапы,Сердце и сосуды,"Сыворотка, кровь с цитратом","Оценка параметров свертываемости крови, рисков тромбообразования и сердечно-сосудистых заболеваний. Рекомендуется для ежегодного скрининга от 30 лет и при планировании занятий спортом.
В исследование входит: Гомоцистеин, АЧТВ, Тромбиновое время, Фибриноген",2490,1
Чекапы,Стоматологический чекап,Кровь,"Комплекс небходим при подготовке к запланированному хирургическому вмешательству в стоматологии. Исследования помогут оценить общее состояние организма, систему свертывания и состояние печени, а так же исследование на предпологаемое носительство вирусов гепатита В, С и ВИЧ. Данное обследование поможет врачу-специалисту сформировать план лечения. В комплекс входит: клинический анализ крови с лейкоцитарной формулой и СОЭ, anti-HCV, суммарные антитела; HBsAg; ВИЧ (антитела и антигены), Treponema pallidum, суммарные антитела; кальций ионизированный, глюкоза, билирубин общий, щелочная фосфатаза (ЩФ), АСТ, АЛТ, фибриноген, АЧТВ, МНО, протромбиновое время.",3590,2
Чекапы,Чекап COVID (совместно с PRO-Здоровье),"Кровь, кал","В комплекс входит: Общий анализ крови с лейкоцитарной формулой и СОЭ, общий белок, АСТ, АЛТ, билирубин общий, билирубин прямой, глюкоза, холестерин общий, ЛПНП, ЛПВП, индекс атерогенности, с-реактивный белок, ферритин, гомоцистеин , витамин В12, фолиевая кислота, медь в крови, магний в крови, цинк в крови, витамин D, копрограмма.",8900,5
Чекапы,Чекап Витамины и микроэлементы (совместно с Biocharge),Кровь,"В комплекс входит: Ферритин , литий, Li;, бор, B;магний, Mg; алюминий, Al; кремний, Si ;кальций, Ca; титан, Ti; хром, Cr; марганец, Mn;железо, Fe; кобальт, Co; никель, Ni; медь, Cu; цинк, Zn; мышьяк, As; селен, Se; молибден, Mo; кадмий, Cd; сурьма, Sb; ртуть, Hg;  свинец, Pb; витамин B9 (фолиевая кислота); витамин D: 25-OH D2 (25 - гидроксиэргокальциферол) / 25-ОН D3 (25 - гидроксихолекальциферол), витамин E (токоферол) в крови.",9900,5
Чекапы,Чекап Дети (базовый),"Кровь, моча","Комплекс позволяет определить основные параметры, необходимые для здорового развития ребенка. Выявляет инфекционные, воспалительные, аллергические процессы, а так же помогает оценить состояние костной ткани и кроветворения. В комплекс входит: клинический анализ крови с лейкоцитарной формулой и СОЭ, общий анализ мочи, IgE общий, глюкоза крови, АСТ, АЛТ, билирубин общий, железо сыворотки, мочевина, креатинин, общий белок, витамин D, кальций общий.",3890,2
Чекапы,Чекап Дети (расширенный),"Кровь, моча","Комплекс позволяет определить основные параметры, необходимые для здорового развития ребенка. Выявляет инфекционные, воспалительные, аллергические процессы, а так же помогает оценить состояние костной ткани и кроветворения. В комплекс входит: клинический анализ крови с лейкоцитарной формулой и СОЭ, общий анализ мочи, IgE общий, глюкоза крови, АСТ, АЛТ, билирубин общий, железо сыворотки, мочевина, креатинин, общий белок, витамин D, кальций общий, антитела к аскаридам (Ascaris lumbricoides), IgG, антитела к антигенам лямблий (суммарные: IgA, IgG, IgM).",6190,7
Чекапы,Чекап Диетологический (базовый),Кровь,"Комплекс позволяет выполнить оценку организма, выявить наиболее частые причины повышения веса - нерациональное питание и нарушения функции щитовидной железы. Поможет в составлении рационального плана питания с учетом ваших особенностей. В комплекс входит: клинический анализ крови с лейкоцитарной формулой и СОЭ, АЛТ, АСТ, глюкоза крови, железо в сыворотке, креатинин в сыворотке, скорость клубочковой фильтрации, общий белок, ферритин, витамин D, инсулин, тироксин общий (Т4),  тиреотропный гормон (ТТГ), липидограмма, билирубин и его фракции.",5490,3
Чекапы,Чекап Диетологический (расширенный),Кровь,"Комплекс поможет оценить состояние органов и систем организма, исключить набор веса на фоне возможных эндокринных заболеваний (щитовидная железа, половые гормоны), заболеваний органов пищеварения, сахарный диабет и др. Позволит выбрать индивидуальный подход к составлению программы питания с учетом ваших индивидуальных параметров организма. В комплекс входит: клинический анализ крови с лейкоцитарной формулой и СОЭ, АЛТ, АСТ, глюкоза крови, железо в сыворотке, креатинин в сыворотке, Сскорость клубочковой фильтрации, общий белок, ферритин, витамин D, глобулин связывающий половые гормоны, инсулин, дигидротестостерон, тироксин общий (Т4), трийодтиронин общий (Т3), тиреотропный гормон (ТТГ), фолликулостимулирующий гормон (ФСГ), пролактин, лютеонизирующий гормон (ЛГ), эстрадиол, липидограмма, билирубин и его фракции.",7900,6
Чекапы,Чекап Для двоих,Кровь,"Анализ крови в случае риска заражения инфекциями передающимися половым путем (ВИЧ, вирусные гепатиты, ВПГ II типа, сифилис, хламидиоз, трихоманоз, микоплазмоз). Исследование проводится для двух клиентов. В комплекс входит: anti-HCV, суммарные антитела, HBsAg, ВИЧ (антитела и антигены), Treponema pallidum, суммарные антитела, антитела к хламидии (Chlamydia trachomatis), IgA, антитела к вирусу простого герпеса II типа, IgG, антитела к трихомонаде (Trichomonas vaginalis), IgG, антитела к микоплазме (Mycoplasma hominis), IgА.",5900,7
Чекапы,Чекап Женское здоровье,Кровь,"Комплексное обследование, предназначенное для оценки жалоб и скрининга наиболее актуальных для женщин состояний. Таких как изменение менструального цикла, бесплодие, рак молочной железы и яичников, инфекции передающиеся половым путем. В комплекс входит: Лютеонизирующий гормон (ЛГ), фолликулостимулирующий гормон (ФСГ), пролактин, эстрадиол, дигидротестостерон, кортизол крови, anti-HCV, суммарные антитела, HBsAg, ВИЧ (антитела и антигены), Treponema pallidum, суммарные антитела, антиген CA 15-3, антиген СА 125.",5900,6
Чекапы,Чекап Мужское здоровье,Кровь,"Комплексное обследование, предназначенное для оценки жалоб и скрининга наиболее актуальных для мужчин состояний. Таких как снижение либидо и лишний вес,простатиты, рак простаты, инфекции передающиеся половым путем. В комплекс входит: Тестостерон, тестостерон свободный, фолликулостимулирующий гормон (ФСГ), пролактин, глобулин связывающий половые гормоны, лютеонизирующий гормон (ЛГ), ПСА своб. + ПСА обш. + ПСА св./ПСА общ, anti-HCV, суммарные антитела, HBsAg, ВИЧ (антитела и антигены), Treponema pallidum, суммарные антитела.",5900,3
Чекапы,Чекап Пожилые,"Кровь, моча","Чекап предназначен для выявления особых состояний, характерных для людей возрастом старше 60-ти лет, таких как сахарный диабет, атеросклероз сосудов, остеопороз, онкология. В комплекс входит: клинический анализ крови с лейкоцитарной формулой и СОЭ, общий анализ мочи, глюкоза крови, АЛТ, АСТ, ГГТ, щелочная фосфатаза, общий белок, креатинин, мочевина, кальций общий, железо, витамин D, холестерин общий, триглицериды, мочевая кислота, альфа-амилаза, РАЭ (раковый эмбриональный антиген), ПСА своб. + ПСА общ. + ПСА св./ПСА общ (для мужчин), антиген CA 15-3 (для женщин), антиген CA 125 (для женщин).",7990,3
